Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2006-04-22,CLE,,WAS,W 97-86,*,48:00,12,27,.444,1,4,.250,11,23,.478,.463,7,11,.636,3,8,11,11,0,0,4,3,32,23.3,11
2,2,2,2006-04-25,CLE,,WAS,L 84-89,*,43:28,7,25,.280,1,6,.167,6,19,.316,.300,11,15,.733,2,7,9,2,2,3,10,5,26,6.7,-2
3,3,3,2006-04-28,CLE,@,WAS,W 97-96,*,47:37,16,28,.571,3,5,.600,13,23,.565,.625,6,9,.667,1,4,5,3,2,0,4,3,41,27.4,1
4,4,4,2006-04-30,CLE,@,WAS,L 96-106,*,45:20,13,23,.565,7,12,.583,6,11,.545,.717,5,7,.714,1,5,6,5,0,0,7,5,38,23.0,-16
5,5,5,2006-05-03,CLE,,WAS,W 121-120 (OT),*,46:07,14,23,.609,0,1,.000,14,22,.636,.609,17,18,.944,5,2,7,6,2,0,4,5,45,38.4,-4
6,6,6,2006-05-05,CLE,@,WAS,W 114-113 (OT),*,53:00,15,25,.600,1,6,.167,14,19,.737,.620,1,3,.333,0,7,7,7,2,1,5,4,32,22.8,1
7,7,7,2006-05-07,CLE,@,DET,L 86-113,*,36:00,9,18,.500,2,5,.400,7,13,.538,.556,2,2,1.000,1,3,4,4,0,0,4,3,22,12.2,-31
8,8,8,2006-05-09,CLE,@,DET,L 91-97,*,47:32,11,23,.478,2,5,.400,9,18,.500,.522,6,8,.750,2,12,14,7,0,0,3,4,30,22.8,-4
9,9,9,2006-05-13,CLE,,DET,W 86-77,*,48:00,9,18,.500,1,4,.250,8,14,.571,.528,2,2,1.000,0,10,10,10,4,1,4,2,21,21.9,9
10,10,10,2006-05-15,CLE,,DET,W 74-72,*,48:00,8,23,.348,1,2,.500,7,21,.333,.370,5,10,.500,1,7,8,9,2,2,8,3,22,10.4,2
11,11,11,2006-05-17,CLE,@,DET,W 86-84,*,46:50,13,30,.433,1,4,.250,12,26,.462,.450,5,7,.714,3,2,5,5,2,1,2,3,32,21.1,2
12,12,12,2006-05-19,CLE,,DET,L 82-84,*,47:50,8,20,.400,1,5,.200,7,15,.467,.425,15,18,.833,0,11,11,5,1,1,7,2,32,20.7,-2
13,13,13,2006-05-21,CLE,@,DET,L 61-79,*,46:45,11,24,.458,0,4,.000,11,20,.550,.458,5,8,.625,3,5,8,2,1,0,3,2,27,15.6,-16
